Ejecucion;Optimo;Best;Hit;Generaciones;Evaluaciones;Tiempo;
12;3279;3284;false;493;197620;19897;
6;3279;3280;false;10;4565;1571;
8;3279;3280;false;138;55840;5836;
9;3279;3280;false;2;1250;659;
10;3279;3280;false;36;14895;2614;
11;3279;3280;false;26;11000;2311;
13;3279;3280;false;2;1335;819;
14;3279;3280;false;1;1195;729;
15;3279;3280;false;16;7075;2051;
16;3279;3280;false;70;28670;4462;
17;3279;3280;false;48;19995;3482;
18;3279;3280;false;3;1695;922;
19;3279;3280;false;13;5990;1551;
21;3279;3280;false;650;260570;24969;
23;3279;3280;false;1;1120;735;
25;3279;3280;false;23;9715;1656;
26;3279;3280;false;24;10365;1464;
27;3279;3280;false;24;10180;1603;
28;3279;3280;false;42;17545;1955;
30;3279;3280;false;7;3570;1167;
1;3279;3244;false;749;300000;26036;
2;3279;3244;false;749;300000;30265;
5;3279;3244;false;749;300000;24163;
20;3279;3244;false;749;300000;26101;
24;3279;3244;false;749;300000;26360;
3;3279;3236;false;749;300000;25670;
4;3279;3236;false;749;300000;25490;
7;3279;3236;false;749;300000;30933;
22;3279;3236;false;749;300000;30917;
29;3279;3236;false;749;300000;25545;
mean;3279;3266,8;#DIV/0!;303,9666666667;122139,666666667;11731,1;
sd;0;19,4305127978;#DIV/0!;349,1835287948;139559,883766008;12347,7573263186;#DIV/0!
